0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
AGI|AGI|Вагенинген|Вагенинген|Wageningen|Wageningen|Вагенинген|Вагенинген|Wageningen|Wageningen
AGJ|AGJ|Агуни|Агуни|Aguni|Aguni|Агуни|Агуни|Aguni|Aguni
AGK|AGK|Кагуа|Кагуа|Kagua|Kagua|Кагуа|Кагуа|Kagua|Kagua
AGL|AGL|Ванигела|Ванигела|Wanigela|Wanigela|Ванигела|Ванигела|Wanigela|Wanigela
AGM|AGM|||Tasiilaq|Tasiilaq|||Tasiilaq|Tasiilaq
AGN|AGN|Ангун|Ангун|Angoon|Angoon|||Angoon|Angoon
AGO|AGO|||Municipal|Municipal|||Magnolia|Magnolia
AGP|AGP|||Pablo Ruiz Picasso|Pablo Ruiz Picasso|Малага|Малага|Malaga|Malaga
AGQ|AGQ|Агринио|Агринио|Agrinion|Agrinion|Агринио|Агринио|Agrinion|Agrinion
AGR|AGR|||Kheria|Kheria|Агра|Агра|Agra|Agra
AGS|AGS|||Bush Field|Bush Field|||Augusta|Augusta
AGT|AGT|||Alejo Garcia|Alejo Garcia|Кудад-дель-Эсте|Кудад-дель-Эсте|Ciudad Del Este|Ciudad Del Este
AGU|AGU|||Aguascalients|Aguascalients|Агуаскалиентес|Агуаскалиентес|Aguascalientes|Aguascalientes
AGV|AGV|Акарикуа|Акарикуа|Acarigua|Acarigua|Акарикуа|Акарикуа|Acarigua|Acarigua
AGW|AGW|||Agnew|Agnew|||Agnew|Agnew
AGX|AGX|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island|Агатти-Айленд|Агатти-Айленд|Agatti Island|Agatti Island
AGY|AGY|||Argyle Downs|Argyle Downs|||Argyle Downs|Argyle Downs
AGZ|AGZ|Аггенейз|Аггенейз|Aggeneys|Aggeneys|Аггенейз|Аггенейз|Aggeneys|Aggeneys
AHA|AHA|||Naha Air Force Base|Naha Air Force Base|Окинава|Окинава|Okinawa|Okinawa
AHB|AHB|Абха|Абха|Abha|Abha|Абха|Абха|Abha|Abha
AHC|AHC|||Amedee AAF|Amedee AAF|||Herlong|Herlong
AHD|AHD|||Downtown|Downtown|Ардмор|Ардмор|Ardmore|Ardmore
AHE|AHE|||Ahe Airport|Ahe Airport|||Ahe|Ahe
AHF|AHF|||Municipal|Municipal|||Arapahoe|Arapahoe
AHH|AHH|||Municipal|Municipal|||Amery|Amery
AHI|AHI|Амахаи|Амахаи|Amahai|Amahai|Амахаи|Амахаи|Amahai|Amahai
AHL|AHL|Аисхалтон|Аисхалтон|Aishalton|Aishalton|Аисхалтон|Аисхалтон|Aishalton|Aishalton
AHN|AHN|Афины|Афины|Athens|Athens|Афины|Афины|Athens|Athens
AHO|AHO|||Fertilia|Fertilia|||Alghero|Alghero
AHS|AHS|Ахуас|Ахуас|Ahuas|Ahuas|Ахуас|Ахуас|Ahuas|Ahuas
AHT|AHT|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka|Ам-Тиман|Ам-Тиман|Amchitka|Amchitka
AHU|AHU|||Charif Al Idrissi|Charif Al Idrissi|||Al Hoceima|Al Hoceima
AHY|AHY|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy|Амбатолахи|Амбатолахи|Ambatolahy|Ambatolahy
